comparable_group_id,base_experiment_id,number_of_runs,seeds_included,mean_test_accuracy,std_test_accuracy,mean_macro_f1,std_macro_f1,mean_weighted_f1,std_weighted_f1
A1_fedavg_iid_vit_base_r10_e1_vit_base_patch16_224_iid_bs16_lr0.0001_wd0.0001,A1_fedavg_iid_vit_base,2,"123,42",0.9714285714285714,0.008979133729352952,0.9713275760411468,0.008970933425834684,0.9713275760411466,0.008970933425834566
A2_fedavg_noniid_vit_base_r10_e1_vit_base_patch16_224_noniid_bs16_lr0.0001_wd0.0001,A2_fedavg_noniid_vit_base,2,"123,42",0.980952380952381,0.008979133729352991,0.9809002031391989,0.008872071734035472,0.9809002031391987,0.00887207173403555
A3_fedavg_ckks_iid_vit_base_r10_e1_vit_base_patch16_224_iid_selected_layer_ckks_chunks4_params16149_bs16_lr0.0001_wd0.0001,A3_fedavg_ckks_iid_vit_base,2,"123,42",0.9793650793650794,0.011223917161691308,0.9792838130802933,0.011323863174395554,0.9792838130802932,0.011323863174395514
A4_fedavg_ckks_noniid_vit_base_r10_e1_vit_base_patch16_224_noniid_selected_layer_ckks_chunks4_params16149_bs16_lr0.0001_wd0.0001,A4_fedavg_ckks_noniid_vit_base,2,"123,42",0.9793650793650793,0.002244783432338238,0.9793102029465848,0.002232231657822795,0.9793102029465846,0.0022322316578228733
N0_centralized_vit_base_nwpu_runknown_eunknown_vit_base_patch16_224_unknown_bs16_lr0.0001_wd0.0001,N0_centralized_vit_base_nwpu,1,42,0.8541496598639455,,0.8536836721971309,,0.8536836721971309,
N0_centralized_vit_base_nwpu_runknown_eunknown_vit_base_patch16_224_unknown_bs16_lr5e-05_wd0.0001,N0_centralized_vit_base_nwpu,1,42,0.9464399092970521,,0.9462451491201801,,0.9462451491201804,
N1_fedavg_iid_vit_base_nwpu_r20_e1_vit_base_patch16_224_iid_bs16_lr5e-05_wd0.0001,N1_fedavg_iid_vit_base_nwpu,1,42,0.9514285714285714,,0.9512439751705014,,0.9512439751705011,
N2D01_fedavg_dirichlet01_vit_base_nwpu_r20_e1_vit_base_patch16_224_clients_dirichlet_alpha01_bs16_lr5e-05_wd0.0001,N2D01_fedavg_dirichlet01_vit_base_nwpu,2,"123,42",0.9391156462585034,0.0008658450381876196,0.9389885809640228,0.0008550440301236563,0.938988580964023,0.0008550440301236563
N2D_fedavg_dirichlet03_vit_base_nwpu_r20_e1_vit_base_patch16_224_clients_dirichlet_alpha03_bs16_lr5e-05_wd0.0001,N2D_fedavg_dirichlet03_vit_base_nwpu,1,42,0.9458049886621315,,0.9454827100305367,,0.945482710030537,
N2_fedavg_noniid_vit_base_nwpu_r20_e1_vit_base_patch16_224_noniid_bs16_lr5e-05_wd0.0001,N2_fedavg_noniid_vit_base_nwpu,1,42,0.9516553287981859,,0.9514893699151151,,0.9514893699151149,
N3HN_fedavg_ckks_iid_vit_base_nwpu_r20_e1_vit_base_patch16_224_iid_selected_layer_ckks_chunks9_params36141_bs16_lr5e-05_wd0.0001,N3HN_fedavg_ckks_iid_vit_base_nwpu,1,42,0.9522448979591837,,0.9521201528657106,,0.952120152865711,
N3_fedavg_ckks_iid_vit_base_nwpu_r20_e1_vit_base_patch16_224_iid_selected_layer_ckks_chunks9_params34605_bs16_lr5e-05_wd0.0001,N3_fedavg_ckks_iid_vit_base_nwpu,1,42,0.9501587301587302,,0.9500983446447986,,0.9500983446447987,
N4D01HN_fedavg_ckks_dirichlet01_vit_base_nwpu_r20_e1_vit_base_patch16_224_clients_dirichlet_alpha01_selected_layer_ckks_chunks9_params36141_bs16_lr5e-05_wd0.0001,N4D01HN_fedavg_ckks_dirichlet01_vit_base_nwpu,2,"123,42",0.9399319727891156,0.003238901809516647,0.9398237376135891,0.0033538314828394197,0.939823737613589,0.0033538314828393022
N4D01_fedavg_ckks_dirichlet01_vit_base_nwpu_r20_e1_vit_base_patch16_224_clients_dirichlet_alpha01_selected_layer_ckks_chunks9_params34605_bs16_lr5e-05_wd0.0001,N4D01_fedavg_ckks_dirichlet01_vit_base_nwpu,1,42,0.9435374149659864,,0.9434378474327896,,0.9434378474327895,
